particula,masas,x,y,z
1453,4.00,1438.00,1460.00,206.00
1454,4.00,1677.00,1405.00,-30.00
1455,5.00,1684.00,1410.00,-201.00
1456,5.00,1624.00,1511.00,-145.00
1457,3.00,1453.00,1368.00,-52.00
1458,3.00,1695.00,1560.00,-57.00
1459,1.00,1618.00,1571.00,239.00
1460,1.00,1356.00,1508.00,-88.00
1461,5.00,1582.00,1596.00,179.00
1462,4.00,1558.00,1542.00,185.00
1463,1.00,1445.00,1481.00,-233.00
1464,3.00,1329.00,1449.00,-243.00
1465,5.00,1641.00,1391.00,-28.00
1466,3.00,1627.00,1636.00,33.00
1467,5.00,1392.00,1471.00,-148.00
1468,4.00,1487.00,1519.00,-84.00
1469,2.00,1656.00,1377.00,-151.00
1470,5.00,1512.00,1348.00,-136.00
1471,2.00,1456.00,1352.00,-161.00
1472,3.00,1451.00,1374.00,-197.00
1473,3.00,1553.00,1353.00,-157.00
1474,2.00,1413.00,1414.00,127.00
1475,1.00,1395.00,1442.00,-59.00
1476,4.00,1327.00,1558.00,110.00
1477,5.00,1556.00,1433.00,-207.00
1478,5.00,1565.00,1342.00,271.00
1479,5.00,1329.00,1460.00,19.00
1480,1.00,1518.00,1466.00,85.00
1481,5.00,1658.00,1647.00,-115.00
1482,1.00,1486.00,1405.00,173.00
1483,1.00,1467.00,1366.00,212.00
1484,2.00,1591.00,1459.00,-137.00
1485,2.00,1364.00,1381.00,-151.00
1486,4.00,1654.00,1460.00,41.00
1487,4.00,1556.00,1419.00,39.00
1488,5.00,1650.00,1476.00,-25.00
1489,5.00,1484.00,1595.00,245.00
1490,2.00,1679.00,1348.00,252.00
1491,4.00,1588.00,1639.00,208.00
1492,5.00,1409.00,1398.00,-18.00
1493,3.00,1717.00,1410.00,-20.00
1494,3.00,1726.00,1487.00,227.00
1495,2.00,1563.00,1624.00,-217.00
1496,2.00,1640.00,1363.00,-65.00
1497,2.00,1597.00,1615.00,47.00
1498,4.00,1558.00,1576.00,116.00
1499,3.00,1420.00,1434.00,182.00
1500,3.00,1569.00,1660.00,-169.00
1501,2.00,1700.00,1575.00,-5.00
1502,2.00,1649.00,1389.00,198.00
1503,2.00,1549.00,1433.00,-85.00
1504,1.00,1449.00,1673.00,-118.00
1505,5.00,1522.00,1473.00,-168.00
1506,2.00,1387.00,1400.00,243.00
1507,2.00,1586.00,1615.00,46.00
1508,1.00,1753.00,1574.00,50.00
1509,1.00,1728.00,1372.00,8.00
1510,5.00,1528.00,1569.00,173.00
1511,1.00,1489.00,1469.00,50.00
1512,1.00,1724.00,1594.00,-199.00
1513,5.00,1679.00,1611.00,30.00
1514,2.00,1759.00,1617.00,-158.00
1515,2.00,1719.00,1526.00,-76.00
1516,5.00,1579.00,1521.00,75.00
1517,2.00,1630.00,1670.00,200.00
1518,2.00,1522.00,1459.00,217.00
1519,3.00,1573.00,1493.00,235.00
1520,2.00,1492.00,1585.00,-246.00
1521,4.00,1375.00,1517.00,193.00
1522,3.00,1706.00,1670.00,-89.00
1523,1.00,1761.00,1507.00,-197.00
1524,4.00,1712.00,1654.00,110.00
1525,5.00,1501.00,1634.00,-11.00
1526,1.00,1631.00,1378.00,-162.00
1527,1.00,1409.00,1661.00,235.00
1528,2.00,1580.00,1514.00,-156.00
1529,3.00,1646.00,1612.00,-30.00
1530,2.00,1610.00,1650.00,-145.00
1531,5.00,1626.00,1537.00,96.00
1532,2.00,1390.00,1480.00,160.00
1533,2.00,1717.00,1464.00,-59.00
